user_id,item_id,rating,timestamp
1,101,5,2023-10-26 10:00:00
1,102,4,2023-10-26 10:05:00
2,101,3,2023-10-26 10:10:00
2,103,5,2023-10-26 10:15:00
3,102,2,2023-10-26 10:20:00
3,104,4,2023-10-26 10:25:00
4,101,4,2023-10-26 10:30:00
4,103,3,2023-10-26 10:35:00
5,105,5,2023-10-26 10:40:00
5,102,4,2023-10-26 10:45:00
6,103,2,2023-10-26 10:50:00
6,104,5,2023-10-26 10:55:00
7,101,5,2023-10-26 11:00:00
7,102,3,2023-10-26 11:05:00
8,104,4,2023-10-26 11:10:00
8,105,2,2023-10-26 11:15:00
9,102,5,2023-10-26 11:20:00
9,103,4,2023-10-26 11:25:00
10,101,3,2023-10-26 11:30:00
10,105,5,2023-10-26 11:35:00
1,105,4,2023-10-27 09:00:00
